ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2019,4,CHOCO,BOJAYA,40,12212,13
2020,1,VAUPES,CARURU,11,3201,4
2019,4,SANTANDER,VALLE DE SAN JOSE,28,6222,7
2018,4,SANTANDER,SIMACOTA,87,10042,11
2018,4,SUCRE,CAIMITO,13,15231,15
2020,1,SANTANDER,LEBRIJA,1173,44169,45
2019,3,ANTIOQUIA,FREDONIA,2051,24553,25
2019,1,BOLIVAR,MOMPOS,1320,45498,46
2019,3,NARI�O,SAN PEDRO DE CARTAGO,44,6831,7
2019,2,VAUPES,PAPUNAUA,0,749,1
2018,4,CALDAS,VILLAMARIA,10523,64652,65
2019,2,MAGDALENA,EL RETEN,14,20455,21
2018,4,CHOCO,BAJO BAUDO,181,29957,30
2018,4,NARI�O,LINARES,120,10236,11
2019,1,ANTIOQUIA,EBEJICO,602,12108,13
2019,2,QUINDIO,CIRCASIA,3778,28631,29
2019,3,CAUCA,TIMBIQUI,27,26363,27
2019,1,TOLIMA,HONDA,2973,24585,25
2020,1,BOYACA,TIBANA,105,9119,10
2019,2,META,FUENTE DE ORO,305,12266,12
2020,1,BOYACA,PISBA,11,1793,2
2020,1,ANTIOQUIA,PE�OL,2192,21769,22
2019,2,VALLE DEL CAUCA,TRUJILLO,820,19073,20
2018,4,ANTIOQUIA,YOLOMBO,1006,22538,23
2019,3,ANTIOQUIA,MONTEBELLO,273,6635,7
2019,4,SANTANDER,ONZAGA,18,4111,5
2019,4,ANTIOQUIA,BETANIA,572,10274,11
2019,2,CESAR,AGUACHICA,10227,114569,115
2018,3,TOLIMA,ESPINAL,9712,70494,71
2019,4,BOLIVAR,MORALES,29,22846,24
2020,1,BOYACA,VIRACACHA,18,2809,3
2018,3,CALDAS,RIOSUCIO,2159,50775,51
2020,1,SANTANDER,CONCEPCION,122,5757,7
2019,2,RISARALDA,SANTA ROSA DE CABAL,11476,78636,79
2019,3,CAQUETA,MORELIA,41,3718,4
2019,1,BOYACA,LA UVITA,92,2831,3
2018,3,CESAR,RIO DE ORO,18,16837,17
2020,1,CHOCO,CONDOTO,551,12367,13
2020,1,MAGDALENA,PIJI�O DEL CARMEN,4,12908,13
2018,4,NARI�O,PROVIDENCIA,56,5572,6
2019,4,CORDOBA,PUERTO ESCONDIDO,200,24036,25
2019,3,NARI�O,BARBACOAS,103,56195,56
2019,1,CAQUETA,CURILLO,16,7683,8
2018,3,BOLIVAR,MOMPOS,1336,44442,45
2019,3,CESAR,LA GLORIA,37,17858,18
2019,2,BOYACA,PAUNA,130,7198,8
2018,3,VALLE DEL CAUCA,LA VICTORIA,815,12174,13
2019,2,HUILA,LA ARGENTINA,289,13021,13
2019,1,CAUCA,VILLA RICA,244,21000,21
2020,1,ANTIOQUIA,YONDO,1100,20110,21
2020,1,SANTANDER,CABRERA,14,2021,3
2019,2,BOYACA,SAN JOSE DE PARE,57,4989,6
2018,3,CAUCA,MORALES,121,38838,39
2019,1,RISARALDA,SANTUARIO,561,12506,13
2019,1,NARI�O,MAGsI,10,25214,26
2018,3,ANTIOQUIA,NECOCLI,1452,42281,43
2019,2,CASANARE,VILLANUEVA,1188,35793,36
2019,3,SANTANDER,CERRITO,113,6838,7
2019,4,SANTANDER,LEBRIJA,1103,43145,43
2019,4,ARAUCA,ARAUCA,7387,91875,92
2019,4,BOYACA,SANTA ROSA DE VITERBO,48,13205,13
2019,4,SANTANDER,GUADALUPE,25,4473,5
2019,1,CUNDINAMARCA,BITUIMA,33,2507,3
2019,1,BOLIVAR,MAGANGUE,8486,137030,137
2019,4,SANTANDER,SANTA HELENA DEL OPON,14,3393,4
2020,1,NORTE DE SANTANDER,SANTIAGO,40,3667,4
2019,1,CESAR,LA PAZ,1228,28758,29
2019,1,SUCRE,BUENAVISTA,77,10727,11
2018,4,CALDAS,PALESTINA,762,15555,16
2018,3,NARI�O,SAMANIEGO,418,29414,30
2018,3,HUILA,GARZON,5036,72382,73
2019,2,CHOCO,CARMEN DEL DARIEN,21,18930,19
2020,1,ANTIOQUIA,HELICONIA,230,5395,6
2019,3,CUNDINAMARCA,TENA,101,10065,10
2020,1,TOLIMA,LERIDA,621,18617,19
2020,1,NARI�O,GUALMATAN,27,7040,8
2019,1,CALDAS,PACORA,662,15296,16
2020,1,CUNDINAMARCA,FOSCA,54,6038,7
2019,1,CESAR,MANAURE,98,10479,11
2018,4,ANTIOQUIA,CARACOLI,268,4582,5
2018,4,CAUCA,MIRANDA,330,31360,32
2019,1,CUNDINAMARCA,NARI�O,52,2395,3
2018,3,SANTANDER,OCAMONTE,47,5661,6
2018,4,CAQUETA,SOLITA,10,6216,6
2019,2,VALLE DEL CAUCA,BOLIVAR,337,15828,16
2018,4,MAGDALENA,SANTA BARBARA DE PINTO,8,10575,11
2018,3,META,LA MACARENA,342,26890,27
2020,1,CALDAS,BELALCAZAR,53,10650,11
2019,3,ANTIOQUIA,CHIGORODO,6286,58684,59
2019,3,ANTIOQUIA,AMALFI,1507,26552,27
2019,4,ANTIOQUIA,GIRARDOTA,8011,53162,54
2019,1,ARAUCA,PUERTO RONDON,10,4688,5
2019,4,AMAZONAS,PUERTO ARICA,6,1027,1
2019,3,CASANARE,NUNCHIA,126,8738,9
2019,3,CHOCO,RIO QUITO,576,8355,9
2019,1,BOYACA,MIRAFLORES,625,8937,9
2019,3,NORTE DE SANTANDER,MUTISCUA,49,4373,5
2018,3,SANTANDER,CERRITO,103,6729,8
2019,3,NORTE DE SANTANDER,VILLA CARO,39,5172,6
2018,4,CUNDINAMARCA,VERGARA,69,6847,7
2018,4,BOYACA,SANTA ROSA DE VITERBO,66,13066,14
2018,3,CHOCO,UNGUIA,184,12854,14
2019,4,SANTANDER,CABRERA,15,1983,3
2020,1,BOYACA,CAMPOHERMOSO,76,3061,4
2019,1,ANTIOQUIA,HISPANIA,539,5530,6
2018,4,TOLIMA,CARMEN DE APICALA,533,10117,10
2018,3,NORTE DE SANTANDER,HERRAN,17,6755,8
2019,2,BOYACA,GACHANTIVA,52,2779,4
2019,4,BOYACA,TASCO,26,5823,6
2019,3,NORTE DE SANTANDER,LABATECA,62,6443,7
2019,2,CORDOBA,CIENAGA DE ORO,2170,59871,61
2019,3,ANTIOQUIA,TARAZA,1441,27517,28
2019,4,ANTIOQUIA,TURBO,10422,127565,128
2019,4,GUAINIA,PANA PANA,0,1959,3
2019,4,SANTANDER,JESUS MARIA,20,3337,4
2019,4,NARI�O,ROBERTO PAYAN,30,12681,13
2019,4,NORTE DE SANTANDER,EL CARMEN,288,13648,15
2019,1,CAUCA,MERCADERES,25,22901,23
2019,1,BOYACA,SUTAMARCHAN,80,6164,7
2018,3,SANTANDER,BUCARAMANGA,149508,581130,582
2019,1,CAUCA,ALMAGUER,35,18263,18
2019,3,MAGDALENA,PLATO,1692,63026,64
2018,3,CALDAS,LA MERCED,121,6003,6
2019,1,NARI�O,GUALMATAN,98,7049,7
2018,4,ANTIOQUIA,YONDO,933,19040,19
2020,1,BOYACA,SANTA MARIA,66,3498,4
2018,3,LA GUAJIRA,HATONUEVO,665,20044,20
2019,2,ANTIOQUIA,EL SANTUARIO,2718,36043,37
2019,3,ATLANTICO,PUERTO COLOMBIA,5838,51695,52
2018,3,ANTIOQUIA,ARBOLETES,1080,29295,29
2019,3,CAQUETA,MILAN,21,9838,10
2018,4,VALLE DEL CAUCA,VIJES,220,12734,13
2019,1,BOLIVAR,SAN MARTIN DE LOBA,260,14792,15
2019,2,CAUCA,LA VEGA,50,24542,25
2019,3,ATLANTICO,CAMPO DE LA CRUZ,155,23230,24
2020,1,CESAR,GAMARRA,42,15864,16
2018,4,BOLIVAR,SAN PABLO,829,27190,28
2019,2,CHOCO,ALTO BAUDO,37,27982,29
2019,2,BOYACA,CUBARA,16,10563,11
2018,3,CAQUETA,SOLITA,10,6216,7
2019,3,BOYACA,BUENAVISTA,40,4396,5
2019,4,CAQUETA,BELEN DE LOS ANDAQUIES,27,11102,12
2020,1,AMAZONAS,LA PEDRERA,1,3947,5
2019,2,NARI�O,EL PE�OL,63,7443,8
2019,3,BOYACA,VILLA DE LEYVA,1550,16617,18
2018,4,CESAR,CURUMANI,112,37399,38
2018,4,ATLANTICO,PIOJO,14,6608,7
2020,1,CUNDINAMARCA,SUSA,130,7067,7
2019,3,BOYACA,BOYACA,72,5103,6
2019,3,ANTIOQUIA,GUATAPE,1301,8548,9
2019,4,MAGDALENA,SANTA MARTA,83088,521239,522
2018,4,NARI�O,ALDANA,110,7392,8
2018,3,NARI�O,CHACHAGsI,144,15354,15
2019,1,BOLIVAR,BARRANCO DE LOBA,209,14996,15
2018,3,BOYACA,BOYACA,89,5089,6
2018,4,BOYACA,BERBEO,38,1596,2
2018,3,BOYACA,SOCHA,256,7938,8
2018,3,PUTUMAYO,VALLE DEL GUAMUEZ,507,33457,34
2019,3,RISARALDA,SANTUARIO,551,12506,13
2018,4,BOLIVAR,CANTAGALLO,160,8234,9
2018,4,TOLIMA,ATACO,290,19330,19
2020,1,CUNDINAMARCA,UBALA,47,7789,9
2018,4,CORDOBA,VALENCIA,850,35694,37
2020,1,HUILA,RIVERA,593,25131,26
2018,3,BOLIVAR,ACHI,213,24352,25
2019,2,BOLIVAR,TURBACO,9549,109813,110
2019,2,CAQUETA,FLORENCIA,18199,170764,172
2019,4,ATLANTICO,TUBARA,66,18190,19
2020,1,CALDAS,SAMANA,420,19967,21
2019,3,TOLIMA,CUNDAY,244,8518,9
2019,3,NORTE DE SANTANDER,CUCUTILLA,84,8307,9
2019,2,NARI�O,GUAITARILLA,251,11422,12
2019,2,CALDAS,MARMATO,165,9035,9
2019,1,GUAVIARE,MIRAFLORES,10,6898,8
2019,4,META,EL CASTILLO,25,7619,8
2018,4,VAUPES,PACOA,0,4042,4
2018,4,ANTIOQUIA,MEDELLIN,592629,2427129,2428
2018,3,VAUPES,CARURU,4,2915,4
2018,3,RISARALDA,DOSQUEBRADAS,45945,217178,217
2020,1,SUCRE,SAN PEDRO,10,19210,20
2018,4,CUNDINAMARCA,SIMIJACA,673,12847,13
2019,4,BOYACA,PUERTO BOYACA,5190,47600,48
2018,3,LA GUAJIRA,MAICAO,9007,170582,171
2019,1,BOYACA,OTANCHE,197,8002,9
2018,4,GUAINIA,INIRIDA,858,31514,32
2019,1,CAUCA,LA VEGA,28,24542,25
2019,2,CUNDINAMARCA,RICAURTE,1414,13652,14
2019,1,BOYACA,SIACHOQUE,72,6747,7
2018,3,CASANARE,VILLANUEVA,2346,35305,36
2019,1,CUNDINAMARCA,JUNIN,78,5920,7
2019,2,CESAR,LA PAZ,1216,28758,30
2019,2,CAQUETA,LA MONTA�ITA,109,14662,15
2020,1,CUNDINAMARCA,VIOTA,231,13878,14
2019,4,MAGDALENA,EL PI�ON,22,23400,24
2019,1,SANTANDER,CONTRATACION,224,3683,4
2020,1,ANTIOQUIA,ARMENIA,112,5074,6
2019,1,VALLE DEL CAUCA,EL CERRITO,5631,56835,57
2018,4,NORTE DE SANTANDER,HERRAN,19,6755,7
2018,3,TOLIMA,LIBANO,2174,36773,38
2020,1,NORTE DE SANTANDER,SALAZAR,27,10728,11
2018,4,CUNDINAMARCA,TOCANCIPA,5537,39996,40
2019,3,BOYACA,JERICO,51,3900,5
2019,1,CUNDINAMARCA,SAN CAYETANO,41,4892,6
2019,3,CORDOBA,SAN BERNARDO DEL VIENTO,441,37052,38
2018,3,HUILA,TESALIA,518,10697,11
2020,1,QUINDIO,LA TEBAIDA,3339,34803,35
2019,1,NORTE DE SANTANDER,CUCUTA,100524,749197,749
2019,4,CHOCO,CONDOTO,557,12464,13
2020,1,ANTIOQUIA,ANZA,195,7169,8
2018,4,CESAR,VALLEDUPAR,67667,490075,490
2020,1,SANTANDER,SANTA HELENA DEL OPON,13,3411,4
2019,3,CUNDINAMARCA,CHIPAQUE,127,9748,10
2019,3,NARI�O,PUPIALES,330,17334,17
2019,2,ANTIOQUIA,HELICONIA,229,5400,6
2018,3,BOYACA,QUIPAMA,102,4889,6
2020,1,ATLANTICO,SANTO TOMAS,1671,32000,32
2020,1,NARI�O,LINARES,19,10012,10
2019,4,VALLE DEL CAUCA,ULLOA,310,5412,5
2019,1,ANTIOQUIA,EL CARMEN DE VIBORAL,5752,61122,62
2019,2,SANTANDER,HATO,33,2349,3
2019,3,TOLIMA,SALDA�A,401,14450,15
2019,1,CUNDINAMARCA,PULI,40,3369,4
